Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,sellerId,isPChome,isNC17,couponActid,BU
QABF0Z-A9008V5LW,QABF0Z,/items/QABF0ZA9008V5LW/000001_1582479930.jpg,/items/QABF0ZA9008V5LW/000001_1582479930.jpg,Logitech 羅技 M171 無線滑鼠 灰黑,【logitech 羅技】 M171 無線滑鼠 灰黑\r\n接頭：usb鍵數：3鍵有線 無線 藍芽：無線保固：1年,339,339,,,,,1,0,[],ec
QABE0H-A9009F6XT,QABE0H,/items/QABE0HA9009F6XT/000002_1537257465.jpg,/items/QABE0HA9009F6XT/000001_1537257465.jpg,【logitech 羅技】G533 無線7.1聲 遊戲 電競耳機麥克風,"❤快速出貨❤　G533 無線 　　電競耳機麥克風　\r\n1、先進的音訊表現
2、定位音訊
3、專業級無線功能
4、高效能設計
5、15 小時電池使用壽命
6、降噪麥克風
7、精細噗聲過濾器
8、精細調整控制方式

　",3490,3490,,,,,1,0,[],ec
QABB3J-A9009M6IJ,QABB3J,/items/QABB3JA9009M6IJ/000001_1543489579.jpg,/items/QABB3JA9009M6IJ/000001_1543489579.jpg,Logitech 羅技 M331 無線靜音滑鼠-黑,【南紡購物中心】 羅技 M331 無線靜音滑鼠(黑)\r\n● 無聲按鍵設計&nbsp;● 人體工學舒適握感&nbsp;● 電力續航可達24個月&nbsp;● 隨插即忘迷你接收器&nbsp;● 2.4ghz無線傳輸距離可達10公尺&nbsp;● 先進光學技術幾乎可用於任何表面 三種顏色可選,629,629,,,,,1,0,[],ec
QABE00-A9009E68I,QABE00,/items/QABE00A9009E68I/000002_1542348471.jpg,/items/QABE00A9009E68I/000001_1542348471.jpg,【logitech 羅技】G402 Hyperion Fury 電競滑鼠,"❤快速出貨❤　G402 Hyperion Fury 　　電競滑鼠　\r\n1、fusion engine 高速追蹤
2、8個可自訂按鈕
3、即時切換 dpi
4、32 位元 arm 處理器
5、1毫秒回報速率
6、舒適的設計
7、高速點擊",990,990,,,,,1,0,[],ec
QABF0Z-A9008V5GU,QABF0Z,/items/QABF0ZA9008V5GU/000001_1582479455.jpg,/items/QABF0ZA9008V5GU/000001_1582479455.jpg,Logitech 羅技 G213 PRODIGY RGB遊戲鍵盤,【Logitech 羅技】G213 PRODIGY RGB 遊戲鍵盤\r\n具備多鍵輸入功能的效能調整鍵清晰明亮的 rgb 背光區域有線 無線：有線保固：2年防潑濺，經久耐用一體式掌墊和調整型腳架專用媒體控制鍵可使用羅技遊戲軟體進行自訂,1090,1090,,,,,1,0,[],ec
DSAR1M-A9005R281,DSAR5T,/items/DSAR1MA9005R281/000002_1539587159.jpg,/items/DSAR1MA9005R281/000001_1569980379.jpg,Logitech羅技H800無線耳機麥克風,"羅技 H800 無線耳機麥克風\r\n◆可調式旋轉收音桿
◆可折式便於攜帶
◆含藍牙無線功能
◆具雜音消除技術的抗噪音麥克風
◆可連線到電腦、平板裝置及智慧型手機
◆內建等化器
◆長達6小時可充電式耳機麥克風  
◆快速按鍵與開關",2990,2990,,,,,1,0,[],ec
QABE0H-A900A03H7,QABE0H,/items/QABE0HA900A03H7/000002_1557473148.jpg,/items/QABE0HA900A03H7/000001_1557473148.jpg,【logitech 羅技】G633S LIGHTSYNC 7.1聲道  電競耳機麥克風 遊戲耳機,"❤快速出貨❤　G633S LIGHTSYNC 　　電競耳機麥克風　\r\n1、pro-g 50公釐
2、超越 7.1 聲道的環繞音效
3、lightsync rgb
4、可自訂 g 功能鍵
5、可自訂聲音設定檔
6、一個耳機麥克風，所有平台
7、針對精確度和舒適感而打造

　",4290,4290,,,,,1,0,[],ec
QABF0Z-A9008V5LA,QABF0Z,/items/QABF0ZA9008V5LA/000001_1582480521.jpg,/items/QABF0ZA9008V5LA/000001_1582480521.jpg,Logitech 羅技 M235 無線滑鼠 藍,【logitech 羅技】M235 無線滑鼠 藍\r\n接頭型式：usb鍵數：3有線 無線：無線解析度：1000dpi保固：3年羅技先進 2.4 ghz 無線連線技術筆電與小筆電的完美首選,399,399,,,,,1,0,[],ec
DCAD0A-A9007BZ66,DSAR2T,/items/DCAD0AA9007BZ66/000002_1591260601.jpg,/items/DCAD0AA9007BZ66/000001_1592447416.jpg,Logitech G29 RACING WHEEL 賽車方向盤,"羅技 Driving force G29賽車方向盤\r\n★ 適用於playstation3和playstation4
★ 雙馬達力回饋
★ 手工縫製真皮 不鏽鋼換擋撥片
★ 無齒隙螺旋齒輪
★ 24點選擇撥盤
★ 900度擬真方向盤",11110,11110,,,,,1,0,[],ec
DCBAA9-A9007ZFD7,DSAR26,/items/DCBAA9A9007ZFD7/000002_1591260601.jpg,/items/DCBAA9A9007ZFD7/000001_1590373339.jpg,羅技Logitech SPOTLIGHT 簡報遙控器-質感灰,"羅技Logitech SPOTLIGHT 簡報遙控器-質感灰\r\n◆ 操作範圍：最遠達30公尺
◆ 支援windows與mac平台
◆ 具備震動提醒的計時器
◆ 快速充電，充1分鐘可進行3小時簡報
◆ 簡易自訂控制項目
◆ 內附充電連接線
◆ 享1年保固

➷質感灰
➷香檳金",2990,2990,,,,,1,0,[],ec
DCBAAU-A9008ZXZ9,DSAR26,/items/DCBAAUA9008ZXZ9/000002_1591260601.jpg,/items/DCBAAUA9008ZXZ9/000001_1589509148.jpg,羅技Logitech R500無線簡報器,"羅技Logitech R500無線簡報器\r\n★型塑專業 一鍵啟動★
★各種作業系統一鍵搞定
★客製化按鍵輕鬆設定
★直覺式操作三鍵搞定
★符合人體工學
★直覺式瀏覽設定",1490,1490,,,,,1,0,[],ec
QABE00-A9009E6CF,QABE00,/items/QABE00A9009E6CF/000002_1547605432.jpg,/items/QABE00A9009E6CF/000001_1547605432.jpg,【logitech 羅技】G304 LIGHTSPEED 無線遊戲滑鼠,"❤快速出貨❤　G304 LIGHTSPEED　　無線電競滑鼠　\r\n1、lightspeed 無線技術
2、hero感應器
3、極長壽命
4、極輕巧
5、6個可自訂按鍵
6、先進按鍵張力系統
7、遊戲地點不受限",1290,1290,,,,,1,0,[],ec
DCAI0C-A74345746,DSAR5S,/items/DCAI0CA74345746/000002_1537944918.jpg,/items/DCAI0CA74345746/000001_1590630050.jpg,Logitech羅技 Z906 5.1聲道音箱系統,"羅技 Z906 5.1聲道音箱系統\r\n◆ 5.1聲道音箱系統
◆ 500 watts (rms) 高功率輸出
◆ 具thx嚴格的效能認證
◆ 可同時連接六種音訊裝置",9590,9590,,,,,1,0,[],ec
DCBAA9-A9007ZFCD,DSAR26,/items/DCBAA9A9007ZFCD/000002_1591260601.jpg,/items/DCBAA9A9007ZFCD/000001_1590373355.jpg,羅技Logitech SPOTLIGHT 簡報遙控器-香檳金,"羅技Logitech SPOTLIGHT 簡報遙控器-香檳金\r\n◆ 操作範圍：最遠達30公尺
◆ 支援windows與mac平台
◆ 具備震動提醒的計時器
◆ 快速充電，充1分鐘可進行3小時簡報
◆ 簡易自訂控制項目
◆ 內附充電連接線
◆ 享1年保固

➷質感灰
➷香檳金",2990,2990,,,,,1,0,[],ec
QABF0Z-A9008V5L0,QABF0Z,/items/QABF0ZA9008V5L0/000001_1582480544.jpg,/items/QABF0ZA9008V5L0/000001_1582480544.jpg,Logitech 羅技 G102 PRODIGY 有線光學滑鼠,【Logitech 羅技】G102 PRODIGY 有線光學滑鼠\r\n接頭：usb鍵數：6鍵有線 無線 藍芽：有線解析度：200-6000 dpi保固：2年,549,549,,,,,1,0,[],ec
DCBAAU-A90091HTO,DSAR26,/items/DCBAAUA90091HTO/000002_1591260601.jpg,/items/DCBAAUA90091HTO/000001_1589509132.jpg,羅技Logitech R500 雷射簡報筆 (灰),"羅技Logitech R500 雷射簡報筆 (灰)\r\n★型塑專業 一鍵啟動★
★各種作業系統一鍵搞定
★客製化按鍵輕鬆設定
★直覺式操作三鍵搞定
★符合人體工學
★直覺式瀏覽設定
黑色賣場，請點我！",1490,1490,,,,,1,0,[],ec
QABE00-A9009E60J,QABE00,/items/QABE00A9009E60J/000002_1542348383.jpg,/items/QABE00A9009E60J/000001_1542348383.jpg,【logitech 羅技】G300S 遊戲滑鼠,"❤快速出貨❤　G300S 　　電競滑鼠　\r\n1、9 個可自訂按鍵
2、流暢的雙手適用造型
3、使用者可自訂燈號
4、內建記憶設定檔
5、即時切換 dpi
6、1毫秒回報速率
7、耐用的機體
8、滑順的腳墊
9、容易使用的設定軟體",459,459,,,,,1,0,[],ec
QABE00-A9009FJ3J,QABE06,/items/QABE00A9009FJ3J/000002_1537520771.jpg,/items/QABE00A9009FJ3J/000001_1537520771.jpg,【logitech 羅技】G240 布面 光學軟墊 電競滑鼠墊,"❤快速出貨❤　G240　　電競滑鼠墊　\r\n1、適中的表面摩擦力
2、一致的表面紋理
3、羅技 g 系列感應器的絕佳良配
4、穩定的橡膠底座
5、舒適的布質構造
6、捲起方便",599,599,,,,,1,0,[],ec
QABE0H-A9009F6YF,QABE0H,/items/QABE0HA9009F6YF/000002_1537256987.jpg,/items/QABE0HA9009F6YF/000001_1537256987.jpg,【logitech 羅技】G633 ARTEMIS SPECTRUM RGB 7.1環繞音效 電競耳機麥克風,"❤快速出貨❤　G633 　　電競耳機麥克風　\r\n1、pro-g™ 音訊單體帶來非凡音效體驗
2、多平台相容性
3、可調整 rgb 背光和自訂標籤
4、可自訂g功能鍵
5、自訂聲音設定檔
6、多源音訊混音
7、折疊式隔音麥克風
8、柔軟透氣的材料

　",3990,3990,,,,,1,0,[],ec
QABF0Z-A9008V5OF,QABF0Z,/items/QABF0ZA9008V5OF/000001_1582479351.jpg,/items/QABF0ZA9008V5OF/000001_1582479351.jpg,Logitech 羅技 K270 無線鍵盤,【logitech 羅技】K270 無線鍵盤\r\n接頭型式：附有羅技獨家 unifying 2.4ghz 超小型接收器鍵數：配備 八個多媒體 multimedia 功能鍵有線 無線：先進的 2.4 ghz 無線連線   使用範圍可長達 10 公尺保固：三年保固輕鬆新增相容的滑鼠或鍵盤 ( 最多 6 個週邊 )(兩個 aaa 電池 )使用壽命長達 24 個月,599,599,,,,,1,0,[],ec
QABF0Z-A9008V5LW,QABF0Z,/items/QABF0ZA9008V5LW/000001_1582479930.jpg,/items/QABF0ZA9008V5LW/000001_1582479930.jpg,Logitech 羅技 M171 無線滑鼠 灰黑,【logitech 羅技】 M171 無線滑鼠 灰黑\r\n接頭：usb鍵數：3鍵有線 無線 藍芽：無線保固：1年,339,339,,,,,1,0,[],ec
QABE0H-A9009F6XT,QABE0H,/items/QABE0HA9009F6XT/000002_1537257465.jpg,/items/QABE0HA9009F6XT/000001_1537257465.jpg,【logitech 羅技】G533 無線7.1聲 遊戲 電競耳機麥克風,"❤快速出貨❤　G533 無線 　　電競耳機麥克風　\r\n1、先進的音訊表現
2、定位音訊
3、專業級無線功能
4、高效能設計
5、15 小時電池使用壽命
6、降噪麥克風
7、精細噗聲過濾器
8、精細調整控制方式

　",3490,3490,,,,,1,0,[],ec
QABB3J-A9009M6IJ,QABB3J,/items/QABB3JA9009M6IJ/000001_1543489579.jpg,/items/QABB3JA9009M6IJ/000001_1543489579.jpg,Logitech 羅技 M331 無線靜音滑鼠-黑,【南紡購物中心】 羅技 M331 無線靜音滑鼠(黑)\r\n● 無聲按鍵設計&nbsp;● 人體工學舒適握感&nbsp;● 電力續航可達24個月&nbsp;● 隨插即忘迷你接收器&nbsp;● 2.4ghz無線傳輸距離可達10公尺&nbsp;● 先進光學技術幾乎可用於任何表面 三種顏色可選,629,629,,,,,1,0,[],ec
QABE00-A9009E68I,QABE00,/items/QABE00A9009E68I/000002_1542348471.jpg,/items/QABE00A9009E68I/000001_1542348471.jpg,【logitech 羅技】G402 Hyperion Fury 電競滑鼠,"❤快速出貨❤　G402 Hyperion Fury 　　電競滑鼠　\r\n1、fusion engine 高速追蹤
2、8個可自訂按鈕
3、即時切換 dpi
4、32 位元 arm 處理器
5、1毫秒回報速率
6、舒適的設計
7、高速點擊",990,990,,,,,1,0,[],ec
QABF0Z-A9008V5GU,QABF0Z,/items/QABF0ZA9008V5GU/000001_1582479455.jpg,/items/QABF0ZA9008V5GU/000001_1582479455.jpg,Logitech 羅技 G213 PRODIGY RGB遊戲鍵盤,【Logitech 羅技】G213 PRODIGY RGB 遊戲鍵盤\r\n具備多鍵輸入功能的效能調整鍵清晰明亮的 rgb 背光區域有線 無線：有線保固：2年防潑濺，經久耐用一體式掌墊和調整型腳架專用媒體控制鍵可使用羅技遊戲軟體進行自訂,1090,1090,,,,,1,0,[],ec
DSAR1M-A9005R281,DSAR5T,/items/DSAR1MA9005R281/000002_1539587159.jpg,/items/DSAR1MA9005R281/000001_1569980379.jpg,Logitech羅技H800無線耳機麥克風,"羅技 H800 無線耳機麥克風\r\n◆可調式旋轉收音桿
◆可折式便於攜帶
◆含藍牙無線功能
◆具雜音消除技術的抗噪音麥克風
◆可連線到電腦、平板裝置及智慧型手機
◆內建等化器
◆長達6小時可充電式耳機麥克風  
◆快速按鍵與開關",2990,2990,,,,,1,0,[],ec
QABE0H-A900A03H7,QABE0H,/items/QABE0HA900A03H7/000002_1557473148.jpg,/items/QABE0HA900A03H7/000001_1557473148.jpg,【logitech 羅技】G633S LIGHTSYNC 7.1聲道  電競耳機麥克風 遊戲耳機,"❤快速出貨❤　G633S LIGHTSYNC 　　電競耳機麥克風　\r\n1、pro-g 50公釐
2、超越 7.1 聲道的環繞音效
3、lightsync rgb
4、可自訂 g 功能鍵
5、可自訂聲音設定檔
6、一個耳機麥克風，所有平台
7、針對精確度和舒適感而打造

　",4290,4290,,,,,1,0,[],ec
QABF0Z-A9008V5LA,QABF0Z,/items/QABF0ZA9008V5LA/000001_1582480521.jpg,/items/QABF0ZA9008V5LA/000001_1582480521.jpg,Logitech 羅技 M235 無線滑鼠 藍,【logitech 羅技】M235 無線滑鼠 藍\r\n接頭型式：usb鍵數：3有線 無線：無線解析度：1000dpi保固：3年羅技先進 2.4 ghz 無線連線技術筆電與小筆電的完美首選,399,399,,,,,1,0,[],ec
QABF0Z-A9008V5NY,QABF0Z,/items/QABF0ZA9008V5NY/000001_1582481938.jpg,/items/QABF0ZA9008V5NY/000001_1582481938.jpg,Logitech 羅技 M171 無線滑鼠 紅,【logitech 羅技】M171 無線滑鼠 紅\r\n接頭：usb鍵數：3鍵有線 無線 藍芽：無線保固：1年,339,339,,,,,1,0,[],ec
QABB58-A900AH03X,QABB58,/items/QABB58A900AH03X/000001_1579171828.jpg,/items/QABB58A900AH03X/000001_1579171828.jpg,Logitech 羅技 G PRO HERO 電競滑鼠/910-005443,【南紡購物中心】 Logitech 羅技 G PRO HERO 電競滑鼠/910-005443\r\nhero 16k 感應器16 000 dpi擁有競賽水準的精確度機械按鍵張力系統6 個可自訂按鍵lightsync rgb原廠保固,2290,2290,,,,,1,0,[],ec
QABF0X-A9008VCDJ,QABF0X,/items/QABF0XA9008VCDJ/000001_1582479553.jpg,/items/QABF0XA9008VCDJ/000001_1582479553.jpg,Logitech 羅技 Z337 2.1聲道藍牙喇叭,【logitech 羅技】 Z337 2.1聲道藍牙喇叭\r\n可從任何藍牙裝置無線串流播放音訊80 瓦尖峰功率 40 瓦 rms 功率提供強勁的音效聲道 件數：3件保固年限：1年,3290,3290,,,,,1,0,[],ec
QABF0Z-A9008V5KV,QABF0Z,/items/QABF0ZA9008V5KV/000001_1589797652.jpg,/items/QABF0ZA9008V5KV/000001_1589797652.jpg,Logitech 羅技 MK270R 無線鍵鼠組,【logitech 羅技】MK270R 無線滑鼠鍵盤組\r\n長距離無線技術外出時可隨身攜帶的滑鼠長效的電池壽命先進的 2.4 ghz 無線技術全尺寸鍵盤接頭：usb有線 無線：無線保固：3年,619,619,,,,,1,0,[],ec
QABE0H-A900A047H,QABE0H,/items/QABE0HA900A047H/000002_1557478819.jpg,/items/QABE0HA900A047H/000001_1557478819.jpg,【Logitech 羅技】 G431 7.1 聲道 有線 遊戲 電競耳機麥克風 981-000776,"❤快速出貨❤　G431 7.1　　電競耳機　\r\n1、50 公釐單體
2、多平台支援
3、dts headphone:x 2.0
4、更宏亮清晰地聽到所有聲音
5、針對精確度和舒適感而打造",2990,2990,,,,,1,0,[],ec
QABF0Z-A9009S3X7,QABF0Z,/items/QABF0ZA9009S3X7/000001_1582479750.jpg,/items/QABF0ZA9009S3X7/000001_1582479750.jpg,【logitech 羅技】G300S 玩家級光學滑鼠,【logitech 羅技】G300S 玩家級光學滑鼠\r\n接頭型式：usb鍵數：9鍵有線 無線：有線解析度：最高可達 2500 dpi保固：2年,398,398,,,,,1,0,[],ec
QAAJBJ-A9008GDH8,QABE1Q,/items/QAAJBJA9008GDH8/000001_1507168364.jpg,/items/QAAJBJA9008GDH8/000001_1507168364.jpg,Logitech羅技無線滑鼠B170,"Logitech羅技無線滑鼠B170\r\n10公尺無線範圍
12個月的電池使用壽命
隨插即忘接收器
可靠的無線連線技術",549,549,,,,,1,0,[],ec
DCAN8J-A9009OS4V,DCAN8J,/items/DCAN8JA9009OS4V/000002_1586943603.jpg,/items/DCAN8JA9009OS4V/000001_1592819879.jpg,羅技 M720 Triathlon 多工無線滑鼠,"原價$1690 ※ 限時價↘９９０羅技 M720 多工無線滑鼠\r\n● 多台裝置輕鬆切換
● 藍牙與unifying無線連接
● 24個月的電池壽命
● 自訂按鍵個性化操作
● 持久耐用合手設計",990,990,,,,,1,0,[],ec
QABE00-A9009E6J9,QABE00,/items/QABE00A9009E6J9/000002_1580879396.jpg,/items/QABE00A9009E6J9/000001_1580879396.jpg,【logitech 羅技】G703 LIGHTSPEED 無線遊戲滑鼠,"❤快速出貨❤　G703 LIGHTSPEED　　無線 電競滑鼠　\r\n1、lightspeed 無線技術
2、遊戲等級效能
3、提升您的準確度
4、人體工學設計
5、可調整的配重砝碼系統
6、可自訂 rgb 背光
7、內建記憶體
8、六個可自訂按鍵
9、可自訂 dpi 設定",3490,3490,,,,,1,0,[],ec
DCAYF8-A9009T9JJ,DSAR5T,/items/DCAYF8A9009T9JJ/000002_1586943603.jpg,/items/DCAYF8A9009T9JJ/000001_1592905053.jpg,羅技 G633s 7.1 聲道LIGHTSYNC電競耳機麥克風,"▼20陪你 築夢長大▼羅技 G633s 7.1 聲道LIGHTSYNC電競耳機麥克風\r\n《感謝有你▼熱銷爆品推薦》 
開始：０６／２４（三）１１：００
結束：０７／０１（三）１０：５９
網路價$4290．限時價↘$２６９０

‧ dts headphone:x 2.0環繞音效
‧ 加大的 pro-g 50mm單體
‧ 1680萬色 lightsync rgb
‧ 清晰的6mm翻轉靜音麥克風

館長小叮嚀：儲值購買最划算～↑6月儲值優惠活動，請點我

6月銀行優惠 限量需登錄↑銀行刷卡活動詳情請點圖片了解

6 1~6 30★周邊全區滿$6666抽豪華電競組★↑詳情請點我",2690,2690,,,,,1,0,[],ec
DSAR2T-A900AKGSF,DSAR2T,/items/DSAR2TA900AKGSF/000002_1584947340.png,/items/DSAR2TA900AKGSF/000001_1584947340.png,Logitech G系列 PZ45 Flight Throttle Quadrant 專業等級模擬軸控制桿,Logitech G系列 PZ45 Flight Throttle Quadrant 專業等級模擬軸控制桿\r\n,2899,2899,,,,,1,0,[],ec
QABE39-A9009TZCV,QABE39,/items/QABE39A9009TZCV/000002_1551174317.jpg,/items/QABE39A9009TZCV/000001_1551174316.jpg,Logitech 羅技 M705 雷射無線滑鼠,"Logitech 羅技 M705 雷射無線滑鼠\r\n1.電池壽命最長達3年 
2.人體工學設計 
3.2.4ghz nano迷你接收器 
4.獨家unifying技術
5.飛梭滾輪設計",1789,1789,,,,,1,0,[],ec
QABF0P-A9008VTY8,QABF0P,/items/QABF0PA9008VTY8/000001_1589798424.jpg,/items/QABF0PA9008VTY8/000001_1589798424.jpg,Logitech 羅技 C270 網路攝影機,【Logitech 羅技】 C270 網路攝影機\r\n介面：usb保固期限：2年,699,699,,,,,1,0,[],ec
QBAB2V-A900A7HCB,QBAB2V,/items/QBAB2VA900A7HCB/000002_1566180607.jpg,/items/QBAB2VA900A7HCB/000001_1566180607.jpg,Logitech羅技 Ultimate UE Ears Wonderboom2 防水無線藍牙喇叭,"Logitech 羅技 Ultimate UE Ears Wonderboom2 防水無線藍牙喇叭\r\n無線藍牙傳輸，最遠達 33 公尺
ip67 防水等級，可浸泡在水中 30 分鐘
充電 2.6 小時，續航力 13 小時
可串連兩個 wonderboom 2",2490,2490,,,,,1,0,[],ec
QAAJ54-A900785DB,QABE00,/items/QAAJ54A900785DB/000001_1476800578.jpg,/items/QAAJ54A900785DB/000001_1476800578.jpg,Logitech 羅技 M171 無線滑鼠 藍,"Logitech 羅技 M171 無線滑鼠 藍\r\n接頭：usb
鍵數：3鍵
保固：1年",339,339,,,,,1,0,[],ec
QAAJ5F-A90068AJG,QABE00,/items/QAAJ5FA90068AJG/000001_1478451657.jpg,/items/QAAJ5FA90068AJG/000001_1478451657.jpg,【Logitech羅技】G300S玩家級光學滑鼠,"Logitech G300S玩家級光學滑鼠\r\n★1毫秒回報速率 
★耐用的機體 
★滑順的腳墊 
★容易使用的設定軟體",459,459,,,,,1,0,[],ec
QABF0P-A900AO2BI,QABF0P,/items/QABF0PA900AO2BI/000001_1589909710.jpg,/items/QABF0PA900AO2BI/000001_1589909710.jpg,Logitech 羅技 C920R HD PRO 視訊攝影機,Logitech 羅技 C920R HD PRO 視訊攝影機\r\n保固：2年full hd 1080p,3290,3290,,,,,1,0,[],ec
